factId,propertyId,humanReadable,annotatedPassage,subjectStart,subjectEnd,subjectText,subjectUri,objectStart,objectEnd,objectText,objectUri
12774:75:85:93:101:10,10,<Jim Harris> <NATIONALITY> <American>,"James Patrick Harris (born 1954), better known as <Jim Harris>, is an <American> naturalist, writer, and artist from El Paso, Texas.",75,85,Jim Harris,http://www.wikidata.org/entity/Q6195461,93,101,American,http://www.wikidata.org/entity/Q30
12774:25:45:93:101:10,10,<James Patrick Harris> <NATIONALITY> <American>,"<James Patrick Harris> (born 1954), better known as Jim Harris, is an <American> naturalist, writer, and artist from El Paso, Texas.",25,45,James Patrick Harris,http://www.wikidata.org/entity/Q6195461,93,101,American,http://www.wikidata.org/entity/Q30
10263:588:589:688:721:9,9,<I> <EDUCATED_AT> <Specs Howard School of Media Arts>,"When I found myself downsized in 2010, <I> decided it was time to combine my photo/video hobby with my technical knowledge, so I enrolled at <Specs Howard School of Media Arts>, where I studied Digital Media Arts (DMA).",588,589,I,,688,721,Specs Howard School of Media Arts,http://www.wikidata.org/entity/Q7575070
10263:588:589:723:728:9,9,<I> <EDUCATED_AT> <where>,"When I found myself downsized in 2010, <I> decided it was time to combine my photo/video hobby with my technical knowledge, so I enrolled at Specs Howard School of Media Arts, <where> I studied Digital Media Arts (DMA).",588,589,I,,723,728,where,http://www.wikidata.org/entity/Q7575070
10263:647:649:723:728:9,9,<my> <EDUCATED_AT> <where>,"When I found myself downsized in 2010, I decided it was time to combine my photo/video hobby with <my> technical knowledge, so I enrolled at Specs Howard School of Media Arts, <where> I studied Digital Media Arts (DMA).",647,649,my,,723,728,where,http://www.wikidata.org/entity/Q7575070
10263:621:623:688:721:9,9,<my> <EDUCATED_AT> <Specs Howard School of Media Arts>,"When I found myself downsized in 2010, I decided it was time to combine <my> photo/video hobby with my technical knowledge, so I enrolled at <Specs Howard School of Media Arts>, where I studied Digital Media Arts (DMA).",621,623,my,,688,721,Specs Howard School of Media Arts,http://www.wikidata.org/entity/Q7575070
10263:674:675:688:721:9,9,<I> <EDUCATED_AT> <Specs Howard School of Media Arts>,"When I found myself downsized in 2010, I decided it was time to combine my photo/video hobby with my technical knowledge, so <I> enrolled at <Specs Howard School of Media Arts>, where I studied Digital Media Arts (DMA).",674,675,I,,688,721,Specs Howard School of Media Arts,http://www.wikidata.org/entity/Q7575070
10263:729:730:688:721:9,9,<I> <EDUCATED_AT> <Specs Howard School of Media Arts>,"When I found myself downsized in 2010, I decided it was time to combine my photo/video hobby with my technical knowledge, so I enrolled at <Specs Howard School of Media Arts>, where <I> studied Digital Media Arts (DMA).",729,730,I,,688,721,Specs Howard School of Media Arts,http://www.wikidata.org/entity/Q7575070
10263:554:555:723:728:9,9,<I> <EDUCATED_AT> <where>,"When <I> found myself downsized in 2010, I decided it was time to combine my photo/video hobby with my technical knowledge, so I enrolled at Specs Howard School of Media Arts, <where> I studied Digital Media Arts (DMA).",554,555,I,,723,728,where,http://www.wikidata.org/entity/Q7575070
10263:562:568:723:728:9,9,<myself> <EDUCATED_AT> <where>,"When I found <myself> downsized in 2010, I decided it was time to combine my photo/video hobby with my technical knowledge, so I enrolled at Specs Howard School of Media Arts, <where> I studied Digital Media Arts (DMA).",562,568,myself,,723,728,where,http://www.wikidata.org/entity/Q7575070
10263:554:555:688:721:9,9,<I> <EDUCATED_AT> <Specs Howard School of Media Arts>,"When <I> found myself downsized in 2010, I decided it was time to combine my photo/video hobby with my technical knowledge, so I enrolled at <Specs Howard School of Media Arts>, where I studied Digital Media Arts (DMA).",554,555,I,,688,721,Specs Howard School of Media Arts,http://www.wikidata.org/entity/Q7575070
10263:562:568:688:721:9,9,<myself> <EDUCATED_AT> <Specs Howard School of Media Arts>,"When I found <myself> downsized in 2010, I decided it was time to combine my photo/video hobby with my technical knowledge, so I enrolled at <Specs Howard School of Media Arts>, where I studied Digital Media Arts (DMA).",562,568,myself,,688,721,Specs Howard School of Media Arts,http://www.wikidata.org/entity/Q7575070
10263:674:675:723:728:9,9,<I> <EDUCATED_AT> <where>,"When I found myself downsized in 2010, I decided it was time to combine my photo/video hobby with my technical knowledge, so <I> enrolled at Specs Howard School of Media Arts, <where> I studied Digital Media Arts (DMA).",674,675,I,,723,728,where,http://www.wikidata.org/entity/Q7575070
10263:729:730:723:728:9,9,<I> <EDUCATED_AT> <where>,"When I found myself downsized in 2010, I decided it was time to combine my photo/video hobby with my technical knowledge, so I enrolled at Specs Howard School of Media Arts, <where> <I> studied Digital Media Arts (DMA).",729,730,I,,723,728,where,http://www.wikidata.org/entity/Q7575070
10263:647:649:688:721:9,9,<my> <EDUCATED_AT> <Specs Howard School of Media Arts>,"When I found myself downsized in 2010, I decided it was time to combine my photo/video hobby with <my> technical knowledge, so I enrolled at <Specs Howard School of Media Arts>, where I studied Digital Media Arts (DMA).",647,649,my,,688,721,Specs Howard School of Media Arts,http://www.wikidata.org/entity/Q7575070
10263:621:623:723:728:9,9,<my> <EDUCATED_AT> <where>,"When I found myself downsized in 2010, I decided it was time to combine <my> photo/video hobby with my technical knowledge, so I enrolled at Specs Howard School of Media Arts, <where> I studied Digital Media Arts (DMA).",621,623,my,,723,728,where,http://www.wikidata.org/entity/Q7575070
20474:1057:1060:996:1033:9,9,<his> <EDUCATED_AT> <Temple University School of Dentistry>,Dr. Bekish attended <Temple University School of Dentistry> and graduated first in <his> class out of 125 students.,1057,1060,his,,996,1033,Temple University School of Dentistry,http://www.wikidata.org/entity/Q5960524
20474:980:986:996:1033:9,9,<Bekish> <EDUCATED_AT> <Temple University School of Dentistry>,Dr. <Bekish> attended <Temple University School of Dentistry> and graduated first in his class out of 125 students.,980,986,Bekish,,996,1033,Temple University School of Dentistry,http://www.wikidata.org/entity/Q5960524
10629:111:112:150:168:9,9,<I> <EDUCATED_AT> <Anadolu University>,"<I> enrolled at the second university in <Anadolu University> in 2017,this department is the Aviation Management.",111,112,I,,150,168,Anadolu University,http://www.wikidata.org/entity/Q483758
10629:111:112:200:219:9,9,<I> <EDUCATED_AT> <Aviation Management>,"<I> enrolled at the second university in Anadolu University in 2017,this department is the <Aviation Management>.",111,112,I,,200,219,Aviation Management,http://www.wikidata.org/entity/Q64686934
4788:424:429:430:432:2,2,<which> <FOUNDED_BY> <he>,"Tim was obsessing over bands, running a fanzine and releasing Bloc Party's debut single, Toby was running reputable website rockfeedback.com, <which> <he> set up aged 15 from his bedroom, whilst making shows for MTV and - promoting a Bloc Party gig.",424,429,which,,430,432,he,
4788:424:429:453:456:2,2,<which> <FOUNDED_BY> <his>,"Tim was obsessing over bands, running a fanzine and releasing Bloc Party's debut single, Toby was running reputable website rockfeedback.com, <which> he set up aged 15 from <his> bedroom, whilst making shows for MTV and - promoting a Bloc Party gig.",424,429,which,,453,456,his,
4788:406:422:430:432:2,2,<rockfeedback.com> <FOUNDED_BY> <he>,"Tim was obsessing over bands, running a fanzine and releasing Bloc Party's debut single, Toby was running reputable website <rockfeedback.com>, which <he> set up aged 15 from his bedroom, whilst making shows for MTV and - promoting a Bloc Party gig.",406,422,rockfeedback.com,,430,432,he,
4788:406:422:453:456:2,2,<rockfeedback.com> <FOUNDED_BY> <his>,"Tim was obsessing over bands, running a fanzine and releasing Bloc Party's debut single, Toby was running reputable website <rockfeedback.com>, which he set up aged 15 from <his> bedroom, whilst making shows for MTV and - promoting a Bloc Party gig.",406,422,rockfeedback.com,,453,456,his,
4788:424:429:371:375:2,2,<which> <FOUNDED_BY> <Toby>,"Tim was obsessing over bands, running a fanzine and releasing Bloc Party's debut single, <Toby> was running reputable website rockfeedback.com, <which> he set up aged 15 from his bedroom, whilst making shows for MTV and - promoting a Bloc Party gig.",424,429,which,,371,375,Toby,
15534:690:692:658:668:25,25,<he> <SPOUSE> <Reva Parry>,"Les married <Reva Parry> in 1933 and by 1946, <he> was a divisional manager at ZCMI.",690,692,he,,658,668,Reva Parry,
15534:658:668:646:649:25,25,<Reva Parry> <SPOUSE> <Les>,"<Les> married <Reva Parry> in 1933 and by 1946, he was a divisional manager at ZCMI.",658,668,Reva Parry,,646,649,Les,
15534:646:649:658:668:25,25,<Les> <SPOUSE> <Reva Parry>,"<Les> married <Reva Parry> in 1933 and by 1946, he was a divisional manager at ZCMI.",646,649,Les,,658,668,Reva Parry,
15534:658:668:690:692:25,25,<Reva Parry> <SPOUSE> <he>,"Les married <Reva Parry> in 1933 and by 1946, <he> was a divisional manager at ZCMI.",658,668,Reva Parry,,690,692,he,
1511:512:541:559:578:1,1,<Celgene Cellular Therapeutics> <SUBSIDIARY_OF> <Celgene Corporation>,"KG and <Celgene Cellular Therapeutics>, a subsidiary of <Celgene Corporation>.",512,541,Celgene Cellular Therapeutics,,559,578,Celgene Corporation,http://www.wikidata.org/entity/Q842947
7183:58:80:18:34:4,4,<Stanley Black & Decker> <CEO> <John F. Lundgren>,"<John F. Lundgren> is CEO and Chairman of <Stanley Black & Decker> (SWK), a position he has held since March 1, 2004.",58,80,Stanley Black & Decker,http://www.wikidata.org/entity/Q706094,18,34,John F. Lundgren,http://www.wikidata.org/entity/Q19663069
7183:82:85:18:34:4,4,<SWK> <CEO> <John F. Lundgren>,"<John F. Lundgren> is CEO and Chairman of Stanley Black & Decker (<SWK>), a position he has held since March 1, 2004.",82,85,SWK,http://www.wikidata.org/entity/Q706094,18,34,John F. Lundgren,http://www.wikidata.org/entity/Q19663069
7183:58:80:99:101:4,4,<Stanley Black & Decker> <CEO> <he>,"John F. Lundgren is CEO and Chairman of <Stanley Black & Decker> (SWK), a position <he> has held since March 1, 2004.",58,80,Stanley Black & Decker,http://www.wikidata.org/entity/Q706094,99,101,he,http://www.wikidata.org/entity/Q19663069
7183:82:85:99:101:4,4,<SWK> <CEO> <he>,"John F. Lundgren is CEO and Chairman of Stanley Black & Decker (<SWK>), a position <he> has held since March 1, 2004.",82,85,SWK,http://www.wikidata.org/entity/Q706094,99,101,he,http://www.wikidata.org/entity/Q19663069
3314:1493:1519:1529:1532:2,2,"<Collins, O’Neal & Swofford> <FOUNDED_BY> <Rob>","Before forming <Collins, O’Neal & Swofford> in 2009, <Rob> served as Vice President and general counsel to a Houston engineering and consulting firm that serviced clients throughout the United States and overseas.",1493,1519,"Collins, O’Neal & Swofford",,1529,1532,Rob,
4927:395:397:441:469:3,3,<he> <EMPLOYEE_OR_MEMBER_OF> <Armenian Academy of Sciences>,"Of Armenian descent, <he> was the founder and first president of the <Armenian Academy of Sciences> (1943–47).",395,397,he,http://www.wikidata.org/entity/Q1382698,441,469,Armenian Academy of Sciences,http://www.wikidata.org/entity/Q2379496
4927:441:469:471:475:5,5,<Armenian Academy of Sciences> <DATE_FOUNDED> <1943>,"Of Armenian descent, he was the founder and first president of the <Armenian Academy of Sciences> (<1943>–47).",441,469,Armenian Academy of Sciences,http://www.wikidata.org/entity/Q2379496,471,475,1943,
4927:441:469:395:397:2,2,<Armenian Academy of Sciences> <FOUNDED_BY> <he>,"Of Armenian descent, <he> was the founder and first president of the <Armenian Academy of Sciences> (1943–47).",441,469,Armenian Academy of Sciences,http://www.wikidata.org/entity/Q2379496,395,397,he,http://www.wikidata.org/entity/Q1382698
12728:1056:1088:1045:1047:25,25,"<Virginia ""Cricket"" Franche Jones> <SPOUSE> <He>","<He> married <Virginia ""Cricket"" Franche Jones>, an interior designer, in 1999.",1056,1088,"Virginia ""Cricket"" Franche Jones",,1045,1047,He,http://www.wikidata.org/entity/Q4706995
12728:1045:1047:1056:1088:25,25,"<He> <SPOUSE> <Virginia ""Cricket"" Franche Jones>","<He> married <Virginia ""Cricket"" Franche Jones>, an interior designer, in 1999.",1045,1047,He,http://www.wikidata.org/entity/Q4706995,1056,1088,"Virginia ""Cricket"" Franche Jones",
12728:893:917:872:877:25,25,<Josephine Franklin Jones> <SPOUSE> <Jones>,"For many years, <Jones> was married to <Josephine Franklin Jones>, the daughter of Newbery Award-winning author Madeleine L'Engle; they had two daughters and a son.",893,917,Josephine Franklin Jones,,872,877,Jones,http://www.wikidata.org/entity/Q4706995
12728:872:877:893:917:25,25,<Jones> <SPOUSE> <Josephine Franklin Jones>,"For many years, <Jones> was married to <Josephine Franklin Jones>, the daughter of Newbery Award-winning author Madeleine L'Engle; they had two daughters and a son.",872,877,Jones,http://www.wikidata.org/entity/Q4706995,893,917,Josephine Franklin Jones,
1756:458:479:483:487:5,5,<South Shore Coin Club> <DATE_FOUNDED> <1972>,His passion was coin collecting and he also co-founded the <South Shore Coin Club> in <1972>.,458,479,South Shore Coin Club,,483,487,1972,
1756:299:301:359:377:3,3,<He> <EMPLOYEE_OR_MEMBER_OF> <City of West Allis>,<He> was a retired Air Force Veteran and later worked for the <City of West Allis> as a Civil Engineer.,299,301,He,,359,377,City of West Allis,http://www.wikidata.org/entity/Q389483
1756:299:301:316:325:3,3,<He> <EMPLOYEE_OR_MEMBER_OF> <Air Force>,<He> was a retired <Air Force> Veteran and later worked for the City of West Allis as a Civil Engineer.,299,301,He,,316,325,Air Force,http://www.wikidata.org/entity/Q61883
1756:200:211:227:246:2,2,<Bob's Coins> <FOUNDED_BY> <Robert (Bob) Korsec>,<Bob's Coins> was founded by <Robert (Bob) Korsec> a graduate of Marquette High School and University.,200,211,Bob's Coins,,227,246,Robert (Bob) Korsec,
7868:37:47:63:77:5,5,<First Army> <DATE_FOUNDED> <1 January 2015>,The <First Army> was created on <1 January 2015> in an effort to unify rebel ranks in southern Syria.,37,47,First Army,http://www.wikidata.org/entity/Q18711566,63,77,1 January 2015,
13678:298:316:381:391:25,25,<Teresa Heinz Kerry> <SPOUSE> <John Kerry>,"He was the father of H. John Heinz III, Republican member of the U.S. House of Representatives and U.S. Senate, and father-in-law of <Teresa Heinz Kerry>, his son's widow, who is the wife of current Secretary of State <John Kerry>.",298,316,Teresa Heinz Kerry,http://www.wikidata.org/entity/Q288503,381,391,John Kerry,http://www.wikidata.org/entity/Q22316
13678:381:391:298:316:25,25,<John Kerry> <SPOUSE> <Teresa Heinz Kerry>,"He was the father of H. John Heinz III, Republican member of the U.S. House of Representatives and U.S. Senate, and father-in-law of <Teresa Heinz Kerry>, his son's widow, who is the wife of current Secretary of State <John Kerry>.",381,391,John Kerry,http://www.wikidata.org/entity/Q22316,298,316,Teresa Heinz Kerry,http://www.wikidata.org/entity/Q288503
13678:381:391:335:338:25,25,<John Kerry> <SPOUSE> <who>,"He was the father of H. John Heinz III, Republican member of the U.S. House of Representatives and U.S. Senate, and father-in-law of Teresa Heinz Kerry, his son's widow, <who> is the wife of current Secretary of State <John Kerry>.",381,391,John Kerry,http://www.wikidata.org/entity/Q22316,335,338,who,http://www.wikidata.org/entity/Q288503
13678:335:338:381:391:25,25,<who> <SPOUSE> <John Kerry>,"He was the father of H. John Heinz III, Republican member of the U.S. House of Representatives and U.S. Senate, and father-in-law of Teresa Heinz Kerry, his son's widow, <who> is the wife of current Secretary of State <John Kerry>.",335,338,who,http://www.wikidata.org/entity/Q288503,381,391,John Kerry,http://www.wikidata.org/entity/Q22316
30060:13:24:109:112:45,45,<Wong Shu Qi> <POLITICAL_AFFILIATION> <DAP>,<Wong Shu Qi> (born 26 November 1983) is a Malaysian politician from the Democratic Action Party (<DAP>).,13,24,Wong Shu Qi,wikidata.org/entity/Q55847599,109,112,DAP,http://www.wikidata.org/entity/Q1185837
30060:13:24:84:107:45,45,<Wong Shu Qi> <POLITICAL_AFFILIATION> <Democratic Action Party>,<Wong Shu Qi> (born 26 November 1983) is a Malaysian politician from the <Democratic Action Party> (DAP).,13,24,Wong Shu Qi,wikidata.org/entity/Q55847599,84,107,Democratic Action Party,http://www.wikidata.org/entity/Q1185837
8275:87:89:113:121:12,12,<He> <PLACE_OF_BIRTH> <New York>,"<He> was born in Bay Shore, <New York> and raised on Long Island.",87,89,He,http://www.wikidata.org/entity/Q18921476,113,121,New York,http://www.wikidata.org/entity/Q1384
8275:87:89:136:147:11,11,<He> <PLACE_OF_RESIDENCE> <Long Island>,"<He> was born in Bay Shore, New York and raised on <Long Island>.",87,89,He,http://www.wikidata.org/entity/Q18921476,136,147,Long Island,http://www.wikidata.org/entity/Q18438
8275:87:89:102:111:12,12,<He> <PLACE_OF_BIRTH> <Bay Shore>,"<He> was born in <Bay Shore>, New York and raised on Long Island.",87,89,He,http://www.wikidata.org/entity/Q18921476,102,111,Bay Shore,http://www.wikidata.org/entity/Q384692
8275:87:89:113:121:11,11,<He> <PLACE_OF_RESIDENCE> <New York>,"<He> was born in Bay Shore, <New York> and raised on Long Island.",87,89,He,http://www.wikidata.org/entity/Q18921476,113,121,New York,http://www.wikidata.org/entity/Q1384
8275:16:30:37:51:15,15,"<Rich Brightman> <DATE_OF_BIRTH> <April 17, 1990>","<Rich Brightman> (born <April 17, 1990>) is an American Singer-songwriter.",16,30,Rich Brightman,http://www.wikidata.org/entity/Q18921476,37,51,"April 17, 1990",
1647:208:223:280:284:1,1,<The Roof Center> <SUBSIDIARY_OF> <BECN>,"Today, <The Roof Center> is a subsidiary of Beacon Roofing Supply, Inc. (NASDAQ: <BECN>), a Fortune 1000 Company and the largest publicly held distributor of roofing products in the United States.",208,223,The Roof Center,,280,284,BECN,http://www.wikidata.org/entity/Q16950815
1647:208:223:243:270:1,1,"<The Roof Center> <SUBSIDIARY_OF> <Beacon Roofing Supply, Inc.>","Today, <The Roof Center> is a subsidiary of <Beacon Roofing Supply, Inc.> (NASDAQ: BECN), a Fortune 1000 Company and the largest publicly held distributor of roofing products in the United States.",208,223,The Roof Center,,243,270,"Beacon Roofing Supply, Inc.",http://www.wikidata.org/entity/Q16950815
30303:253:277:345:353:6,6,<Lazarus Department Store> <HEADQUARTERS> <Moultrie>,"<Lazarus Department Store> is a family owned and operated clothing store, located in downtown <Moultrie>, Georgia.",253,277,Lazarus Department Store,,345,353,Moultrie,http://www.wikidata.org/entity/Q3100551
30303:253:277:355:362:6,6,<Lazarus Department Store> <HEADQUARTERS> <Georgia>,"<Lazarus Department Store> is a family owned and operated clothing store, located in downtown Moultrie, <Georgia>.",253,277,Lazarus Department Store,,355,362,Georgia,http://www.wikidata.org/entity/Q1428
30303:449:462:390:404:34,34,<Steve Lazarus> <CHILD_OF> <Mendel Lazarus>,"Originally established by <Mendel Lazarus> in 1947, Lazarus is now operated by his son <Steve Lazarus>.",449,462,Steve Lazarus,,390,404,Mendel Lazarus,
30303:449:462:441:444:34,34,<Steve Lazarus> <CHILD_OF> <his>,"Originally established by Mendel Lazarus in 1947, Lazarus is now operated by <his> son <Steve Lazarus>.",449,462,Steve Lazarus,,441,444,his,
21356:1266:1269:1206:1219:14,14,"<his> <DATE_OF_DEATH> <July 20, 2015>","Elio Fiorucci died on <July 20, 2015>, at the age of 80, after he was found dead in <his> Milan home.",1266,1269,his,,1206,1219,"July 20, 2015",
21356:1184:1197:1206:1219:14,14,"<Elio Fiorucci> <DATE_OF_DEATH> <July 20, 2015>","<Elio Fiorucci> died on <July 20, 2015>, at the age of 80, after he was found dead in his Milan home.",1184,1197,Elio Fiorucci,,1206,1219,"July 20, 2015",
21356:1245:1247:1206:1219:14,14,"<he> <DATE_OF_DEATH> <July 20, 2015>","Elio Fiorucci died on <July 20, 2015>, at the age of 80, after <he> was found dead in his Milan home.",1245,1247,he,,1206,1219,"July 20, 2015",
36:102:104:147:154:12,12,<He> <PLACE_OF_BIRTH> <Nigeria>,"Peters is the founder of NGTechBlog which is a subsidiary of New Generations Technology, <He> was born in 22nd July 2000 in Delta State <Nigeria>.",102,104,He,,147,154,Nigeria,http://www.wikidata.org/entity/Q1033
36:13:19:147:154:12,12,<Peters> <PLACE_OF_BIRTH> <Nigeria>,"<Peters> is the founder of NGTechBlog which is a subsidiary of New Generations Technology, He was born in 22nd July 2000 in Delta State <Nigeria>.",13,19,Peters,,147,154,Nigeria,http://www.wikidata.org/entity/Q1033
36:13:19:135:146:12,12,<Peters> <PLACE_OF_BIRTH> <Delta State>,"<Peters> is the founder of NGTechBlog which is a subsidiary of New Generations Technology, He was born in 22nd July 2000 in <Delta State> Nigeria.",13,19,Peters,,135,146,Delta State,http://www.wikidata.org/entity/Q503910
36:38:48:74:100:1,1,<NGTechBlog> <SUBSIDIARY_OF> <New Generations Technology>,"Peters is the founder of <NGTechBlog> which is a subsidiary of <New Generations Technology>, He was born in 22nd July 2000 in Delta State Nigeria.",38,48,NGTechBlog,,74,100,New Generations Technology,
36:49:54:74:100:1,1,<which> <SUBSIDIARY_OF> <New Generations Technology>,"Peters is the founder of NGTechBlog <which> is a subsidiary of <New Generations Technology>, He was born in 22nd July 2000 in Delta State Nigeria.",49,54,which,,74,100,New Generations Technology,
36:102:104:135:146:12,12,<He> <PLACE_OF_BIRTH> <Delta State>,"Peters is the founder of NGTechBlog which is a subsidiary of New Generations Technology, <He> was born in 22nd July 2000 in <Delta State> Nigeria.",102,104,He,,135,146,Delta State,http://www.wikidata.org/entity/Q503910
5138:89:92:200:218:3,3,<ast> <EMPLOYEE_OR_MEMBER_OF> <Vrije Universiteit>,"Andrew Stuart ""Andy"" Tanenbaum (sometimes referred to by the handle <ast>) (born March 16, 1944) is an American computer scientist and professor emeritus of computer science at the <Vrije Universiteit>, Amsterdam in the Netherlands.",89,92,ast,http://www.wikidata.org/entity/Q92621,200,218,Vrije Universiteit,http://www.wikidata.org/entity/Q1065414
5138:21:51:200:218:3,3,"<Andrew Stuart ""Andy"" Tanenbaum> <EMPLOYEE_OR_MEMBER_OF> <Vrije Universiteit>","<Andrew Stuart ""Andy"" Tanenbaum> (sometimes referred to by the handle ast) (born March 16, 1944) is an American computer scientist and professor emeritus of computer science at the <Vrije Universiteit>, Amsterdam in the Netherlands.",21,51,"Andrew Stuart ""Andy"" Tanenbaum",http://www.wikidata.org/entity/Q92621,200,218,Vrije Universiteit,http://www.wikidata.org/entity/Q1065414
261:26:45:103:105:6,6,<PJ Lynch Associates> <HEADQUARTERS> <CT>,"<PJ Lynch Associates> is a retained executive search firm based in Ridgefield, <CT>, established in 1988.",26,45,PJ Lynch Associates,,103,105,CT,http://www.wikidata.org/entity/Q779
261:26:45:91:101:6,6,<PJ Lynch Associates> <HEADQUARTERS> <Ridgefield>,"<PJ Lynch Associates> is a retained executive search firm based in <Ridgefield>, CT, established in 1988.",26,45,PJ Lynch Associates,,91,101,Ridgefield,http://www.wikidata.org/entity/Q753930
30233:517:534:548:572:34,34,<Marie Leszczynska> <CHILD_OF> <King Stanislas of Poland>,"In the year of grace 1725, Louis XV got married <Marie Leszczynska>, daughter of <King Stanislas of Poland>.",517,534,Marie Leszczynska,http://www.wikidata.org/entity/Q231674,548,572,King Stanislas of Poland,http://www.wikidata.org/entity/Q54022
28558:197:200:92:100:10,10,<his> <NATIONALITY> <American>,"Edwin Collins ""Alabama"" Pitts, Jr. (November 22, 1909 – June 7, 1941) was an <American> convicted felon who garnered media attention in his attempt to play professional baseball after <his> release from Sing Sing prison.",197,200,his,http://www.wikidata.org/entity/Q15996490,92,100,American,http://www.wikidata.org/entity/Q30
28558:15:49:92:100:10,10,"<Edwin Collins ""Alabama"" Pitts, Jr.> <NATIONALITY> <American>","<Edwin Collins ""Alabama"" Pitts, Jr.> (November 22, 1909 – June 7, 1941) was an <American> convicted felon who garnered media attention in his attempt to play professional baseball after his release from Sing Sing prison.",15,49,"Edwin Collins ""Alabama"" Pitts, Jr.",http://www.wikidata.org/entity/Q15996490,92,100,American,http://www.wikidata.org/entity/Q30
28558:117:120:92:100:10,10,<who> <NATIONALITY> <American>,"Edwin Collins ""Alabama"" Pitts, Jr. (November 22, 1909 – June 7, 1941) was an <American> convicted felon <who> garnered media attention in his attempt to play professional baseball after his release from Sing Sing prison.",117,120,who,http://www.wikidata.org/entity/Q15996490,92,100,American,http://www.wikidata.org/entity/Q30
28558:149:152:92:100:10,10,<his> <NATIONALITY> <American>,"Edwin Collins ""Alabama"" Pitts, Jr. (November 22, 1909 – June 7, 1941) was an <American> convicted felon who garnered media attention in <his> attempt to play professional baseball after his release from Sing Sing prison.",149,152,his,http://www.wikidata.org/entity/Q15996490,92,100,American,http://www.wikidata.org/entity/Q30
